# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416448590;-72676.96;0.38;70637.02
axle;59;1416448650;34585.21;0.37;-34140.10
axle;60;1416448710;-6417.24;0.32;7891.80
axle;60;1416448770;-12015.82;0.40;5273.55
axle;60;1416448830;7169.85;0.48;110.71
axle;60;1416448890;-4694.45;0.33;4131.17
axle;60;1416448950;-13744.48;0.30;14328.64
axle;60;1416449010;-3904.22;0.38;3793.96
axle;60;1416449070;117.42;0.20;7.83
axle;60;1416449130;-10147.67;0.20;8459.05
axle;60;1416449190;-2214.07;0.50;351.65
