# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416449419;4.61;438.93;865331.95;0.00;48853.95;0.00;0.00;0.00;0.00
axle;60;1416449479;0.07;402.28;747301.46;0.00;44134.85;1009.85;0.00;1009.81;100.00
axle;60;1416449539;0.00;480.04;724715.49;0.00;55187.57;5054.07;0.00;5054.04;100.00
axle;60;1416449599;5.74;418.69;720762.99;0.02;64382.95;14030.85;0.00;14030.82;100.00
axle;60;1416449659;0.07;409.34;744587.62;0.00;81797.23;0.00;0.00;0.00;0.00
axle;60;1416449719;0.07;443.14;706293.29;0.02;42303.95;0.00;0.00;0.00;0.00
axle;60;1416449779;0.00;504.95;681341.84;0.00;53811.99;0.00;0.00;0.00;0.00
axle;60;1416449839;0.07;363.22;763222.68;0.00;59371.19;0.00;0.00;0.00;0.00
axle;60;1416449899;0.00;448.82;829231.17;0.00;47540.96;0.00;0.00;0.00;0.00
axle;60;1416449959;0.00;453.08;681231.38;0.00;59108.45;0.00;0.00;0.00;0.00
axle;60;1416450019;0.20;390.46;540294.55;0.00;39226.21;0.00;0.00;0.00;0.00
axle;60;1416450079;0.00;435.77;821232.52;0.00;53286.34;0.00;0.00;0.00;0.00
axle;60;1416450139;1.20;565.39;868908.42;0.05;92558.54;0.00;0.00;0.00;0.00
axle;60;1416450199;0.27;382.52;278616.65;0.00;53693.59;0.00;0.00;0.00;0.00
